trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
18	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	0.1258	3.2674	120	0	14.272	1	0	2	3.1712	3.7915	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999996	standard	5.2488	2.1072	120	0	14.278	1	0	2	2.244	3.8755	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	4.5462	1.4046	120	0	14.277	1	0	2	2.825	4.2629	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1_2_Combined	centred	circle	2	1.4999999999999998	standard	1.9621	5.1037	120	1	5.495	1	0	2	2.6011	4.5574	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	2.6872	5.8288	120	1	5.614	1	0	2	2.1267	3.9696	-999	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1_2_Combined	near_displaced	circle	2	1.9000000000000001	varying	6.0126	2.871	120	1	5.452	1	0	2	2.0872	3.9356	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9999999999999996	varying	2.2675	5.4091	120	1	5.935	1	0	2	3.007	4.8573	-999	-999	-999	-999	-999	-999	-999	-999
25	temp	1	Part1_2_Combined	centred	circle	2	1.1999999999999997	standard	5.052	1.9104	120	1	5.681	1	0	2	3.0785	4.538	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9999999999999996	standard	0.8131	3.9547	120	1	5.522	1	0	3	1.7046	3.3305	4.8306	-999	-999	-999	-999	-999	-999	-999
27	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	4.582	1.4404	120	1	5.601	1	0	2	2.2146	3.9862	-999	-999	-999	-999	-999	-999	-999	-999
28	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	0.5718	3.7134	120	1	5.802	1	0	2	1.7525	3.7026	-999	-999	-999	-999	-999	-999	-999	-999
29	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9999999999999996	varying	5.7977	2.6561	120	0	5.962	1	0	2	2.3898	3.5799	-999	-999	-999	-999	-999	-999	-999	-999
30	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9999999999999996	standard	3.6328	0.4913	120	0	5.481	1	0	2	2.6635	4.2852	-999	-999	-999	-999	-999	-999	-999	-999
31	temp	1	Part1_2_Combined	far_displaced	circle	2	2.1999999999999997	varying	3.9998	0.8582	120	1	5.482	1	0	2	2.443	3.7932	-999	-999	-999	-999	-999	-999	-999	-999
32	temp	1	Part1_2_Combined	near_displaced	circle	2	1.9000000000000001	varying	0.925	4.0666	120	1	5.642	1	0	3	1.8847	3.3068	4.3113	-999	-999	-999	-999	-999	-999	-999
33	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	1.638	4.7796	120	1	5.642	1	0	2	3.171	4.0438	-999	-999	-999	-999	-999	-999	-999	-999
34	temp	1	Part1_2_Combined	far_displaced	circle	2	2.1999999999999997	standard	2.4154	5.557	120	1	5.708	1	0	3	2.44	3.0287	4.7627	-999	-999	-999	-999	-999	-999	-999
35	temp	1	Part1_2_Combined	far_displaced	circle	2	2.1999999999999997	standard	6.1953	3.0537	120	0	5.829	1	0	2	3.0891	3.6043	-999	-999	-999	-999	-999	-999	-999	-999
36	temp	1	Part1_2_Combined	near_displaced	circle	2	1.9000000000000001	standard	1.5222	4.6638	120	1	5.788	1	0	3	2.5287	3.3924	3.9764	-999	-999	-999	-999	-999	-999	-999
37	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	standard	4.1038	0.9622	120	1	5.775	1	0	2	3.0802	4.1735	-999	-999	-999	-999	-999	-999	-999	-999
38	temp	1	Part1_2_Combined	near_displaced	circle	2	1.9000000000000001	varying	0.3682	3.5098	120	1	5.989	1	0	2	2.3326	4.2647	-999	-999	-999	-999	-999	-999	-999	-999
39	temp	1	Part1_2_Combined	far_displaced	circle	2	2.1999999999999997	varying	1.5308	4.6724	120	0	5.601	1	0	4	1.8723	2.7129	3.2615	4.225	-999	-999	-999	-999	-999	-999
40	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	0.8003	3.9419	120	1	5.895	1	0	2	2.7755	3.7318	-999	-999	-999	-999	-999	-999	-999	-999
41	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	5.9282	2.7866	120	1	5.735	1	0	2	3.0197	4.3692	-999	-999	-999	-999	-999	-999	-999	-999
42	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	varying	1.041	4.1826	120	1	6.015	1	0	2	2.7856	4.4871	-999	-999	-999	-999	-999	-999	-999	-999
43	temp	1	Part1_2_Combined	near_displaced	circle	2	1.9000000000000001	standard	5.0526	1.911	120	1	5.455	1	0	2	2.3187	3.6626	-999	-999	-999	-999	-999	-999	-999	-999
44	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	3.476	0.3345	120	1	5.709	1	0	3	1.8033	3.401	5.0085	-999	-999	-999	-999	-999	-999	-999
45	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	standard	4.4611	1.3195	120	0	5.655	1	0	2	1.7056	3.6391	-999	-999	-999	-999	-999	-999	-999	-999
46	temp	1	Part1_2_Combined	near_displaced	circle	2	1.9000000000000001	standard	4.3881	1.2465	120	0	5.442	1	0	2	2.5646	4.2828	-999	-999	-999	-999	-999	-999	-999	-999
47	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	2.8676	6.0092	120	1	5.788	1	0	2	3.044	4.5339	-999	-999	-999	-999	-999	-999	-999	-999
48	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	standard	2.9469	6.0885	120	0	5.522	1	0	2	2.4838	3.6272	-999	-999	-999	-999	-999	-999	-999	-999
49	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	standard	5.291	2.1494	120	1	5.695	1	0	2	2.8925	4.0696	-999	-999	-999	-999	-999	-999	-999	-999
50	temp	1	Part1_2_Combined	near_displaced	circle	2	2.1	standard	3.305	0.1634	120	0	5.655	1	0	2	2.7777	3.8821	-999	-999	-999	-999	-999	-999	-999	-999
51	temp	1	Part1_2_Combined	near_displaced	circle	2	1.6	varying	4.9773	1.8357	120	1	5.535	1	0	2	2.7862	4.6443	-999	-999	-999	-999	-999	-999	-999	-999
52	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	4.5431	1.4015	120	1	5.495	1	0	2	2.1526	4.1075	-999	-999	-999	-999	-999	-999	-999	-999
53	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	varying	3.1807	0.0392	120	0	5.335	1	0	2	2.4205	4.2683	-999	-999	-999	-999	-999	-999	-999	-999
54	temp	1	Part1_2_Combined	centred	circle	2	1.0	standard	4.4602	1.3186	120	1	5.388	1	0	2	2.5825	4.2641	-999	-999	-999	-999	-999	-999	-999	-999
