trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
17	temp	1	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	2.8568	5.9983	89	89	0	74	center	0.0	1	5.516	1	0	3	0	0	1.7336	3.4688	4.2383	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	5.5051	2.3635	89	89	0	82	right	5.0	1	5.383	1	0	2	2	0	3.1388	4.5966	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.5	2.4133	5.5549	89	89	0	95	left	10.0	1	5.949	1	0	2	5	2	2.7803	3.8298	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.5	-1.5	6.0009	2.8593	89	89	0	96	right	5.0	1	5.666	1	0	2	0	0	3.0566	4.1394	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1	far_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	3.5891	0.4475	89	89	0	92	left	10.0	1	5.8	1	0	2	1	1	2.0925	3.7371	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-1.5	3.6787	0.5371	89	89	0	77	right	5.0	1	5.383	1	0	3	3	2	1.8924	3.2196	4.2732	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	2.6463	5.7879	89	89	0	88	left	5.0	0	5.633	1	0	2	0	0	3.1541	3.6882	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	4.1775	1.0359	89	89	0	84	center	0.0	0	5.866	1	0	3	2	2	2.223	2.9257	4.6514	-999	-999	-999	-999	-999	-999	-999
25	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	3.874	0.7324	89	89	0	73	right	10.0	1	5.049	1	0	2	1	0	2.6658	4.5797	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	1	Part1	centred	circle	2	1.5	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.5	3.9788	0.8372	89	89	0	74	center	0.0	0	5.383	1	0	3	2	1	2.7703	3.3881	4.1071	-999	-999	-999	-999	-999	-999	-999
27	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.5	-1.5	2.6563	5.7979	89	89	0	76	left	10.0	0	6.033	1	0	3	0	0	2.1493	2.7957	3.7734	-999	-999	-999	-999	-999	-999	-999
28	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	0.7226	3.8642	89	89	0	68	right	10.0	0	5.566	1	0	3	2	2	2.1989	2.8964	4.7122	-999	-999	-999	-999	-999	-999	-999
29	temp	1	Part1	centred	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.39999999999999997	0.7511	3.8927	89	89	0	86	center	0.0	1	5.483	1	0	3	1	0	1.9929	3.1345	4.634	-999	-999	-999	-999	-999	-999	-999
30	temp	1	Part1	centred	circle	2	1.2	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.5	-1.2	4.8937	1.7521	89	89	0	88	center	0.0	0	5.683	1	0	2	2	1	2.3952	4.0324	-999	-999	-999	-999	-999	-999	-999	-999
31	temp	1	Part1	near_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	3.635	0.4934	89	89	0	82	left	5.0	1	5.6	1	0	3	2	0	1.82	3.042	4.3265	-999	-999	-999	-999	-999	-999	-999
32	temp	1	Part1	centred	circle	2	0.39999999999999997	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.39999999999999997	1.9976	5.1392	89	89	0	78	center	0.0	1	5.399	1	0	2	1	1	1.7932	3.594	-999	-999	-999	-999	-999	-999	-999	-999
