trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
135	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	1.0981	4.2397	120	0	5.535	1	0	2	3.0104	3.7018	-999	-999	-999	-999	-999	-999	-999	-999
136	temp	1	Part1	centred	circle	2	1.0	standard	attention_check	1.4804	4.622	120	1	5.668	1	0	2	3.1571	3.9966	-999	-999	-999	-999	-999	-999	-999	-999
137	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	standard	staircase	2.0213	5.1629	120	1	5.722	1	0	2	2.0284	3.514	-999	-999	-999	-999	-999	-999	-999	-999
138	temp	1	Part1	near_displaced	circle	2	1.6000000000000005	standard	staircase	1.9441	5.0857	120	1	5.442	1	0	2	1.9486	3.6663	-999	-999	-999	-999	-999	-999	-999	-999
139	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	2.9924	6.134	120	1	5.482	1	0	3	2.0964	2.6725	3.9679	-999	-999	-999	-999	-999	-999	-999
140	temp	1	Part1	centred	circle	2	1.6000000000000005	standard	staircase	5.5823	2.4407	120	0	5.522	1	0	3	1.7913	3.142	3.9974	-999	-999	-999	-999	-999	-999	-999
141	temp	1	Part1	near_displaced	circle	2	1.0	varying	attention_check	3.3141	0.1725	120	1	5.374	1	0	3	2.3927	3.3932	5.0456	-999	-999	-999	-999	-999	-999	-999
142	temp	1	Part1	centred	circle	2	1.5500000000000007	standard	staircase	0.8038	3.9454	120	1	5.482	1	0	2	2.3962	4.0367	-999	-999	-999	-999	-999	-999	-999	-999
143	temp	1	Part1	near_displaced	circle	2	1.6000000000000005	standard	staircase	4.0525	0.9109	120	1	5.668	1	0	2	2.5266	4.321	-999	-999	-999	-999	-999	-999	-999	-999
144	temp	1	Part1	near_displaced	circle	2	1.6000000000000005	standard	staircase	2.7267	5.8683	120	1	5.522	1	0	2	2.7927	4.2866	-999	-999	-999	-999	-999	-999	-999	-999
145	temp	1	Part1	centred	circle	2	1.5500000000000007	standard	staircase	4.1764	1.0348	120	0	5.455	1	0	3	1.8889	3.3371	4.371	-999	-999	-999	-999	-999	-999	-999
146	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	standard	staircase	0.8959	4.0375	120	1	5.469	1	0	3	1.7036	3.2523	5.2004	-999	-999	-999	-999	-999	-999	-999
147	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	3.6022	0.4606	120	1	5.721	1	0	3	2.3422	3.1775	4.9682	-999	-999	-999	-999	-999	-999	-999
148	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	5.0218	1.8802	120	1	5.589	1	0	2	3.0556	3.9725	-999	-999	-999	-999	-999	-999	-999	-999
149	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	0.1019	3.2435	120	1	5.468	1	0	2	2.3117	4.1189	-999	-999	-999	-999	-999	-999	-999	-999
150	temp	1	Part1	near_displaced	circle	2	1.0	varying	attention_check	3.0281	6.1697	120	1	5.455	1	0	3	2.1497	2.9342	3.8308	-999	-999	-999	-999	-999	-999	-999
151	temp	1	Part1	far_displaced	circle	2	1.5999999999999996	varying	staircase	4.212	1.0704	120	1	5.521	1	0	2	2.5228	4.1641	-999	-999	-999	-999	-999	-999	-999	-999
152	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	standard	staircase	0.723	3.8646	120	1	5.575	1	0	2	2.7559	3.6092	-999	-999	-999	-999	-999	-999	-999	-999
153	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	4.8225	1.6809	120	1	5.749	1	0	3	1.9795	2.832	3.8528	-999	-999	-999	-999	-999	-999	-999
154	temp	1	Part1	far_displaced	circle	2	1.5999999999999996	varying	staircase	0.6782	3.8198	120	0	5.695	1	0	2	2.6189	4.2637	-999	-999	-999	-999	-999	-999	-999	-999
155	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	4.4476	1.306	120	1	5.735	1	0	2	3.0688	4.2142	-999	-999	-999	-999	-999	-999	-999	-999
156	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	4.0125	0.8709	120	1	6.055	1	0	2	2.4327	3.588	-999	-999	-999	-999	-999	-999	-999	-999
157	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	1.0414	4.183	120	1	5.615	1	0	3	1.7283	2.6817	4.6779	-999	-999	-999	-999	-999	-999	-999
158	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	4.2451	1.1035	120	1	5.575	1	0	2	2.2862	3.562	-999	-999	-999	-999	-999	-999	-999	-999
159	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	2.4045	5.5461	120	1	5.749	1	0	3	2.7106	3.3402	4.0729	-999	-999	-999	-999	-999	-999	-999
160	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	3.7794	0.6378	120	1	5.868	1	0	3	1.8436	2.5246	3.5721	-999	-999	-999	-999	-999	-999	-999
161	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	2.2433	5.3849	120	1	5.481	1	0	3	2.7515	3.2923	3.9832	-999	-999	-999	-999	-999	-999	-999
162	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	5.0838	1.9422	120	1	5.628	1	0	2	2.777	4.4097	-999	-999	-999	-999	-999	-999	-999	-999
163	temp	1	Part1	far_displaced	circle	2	1.8499999999999999	standard	staircase	3.7743	0.6327	120	0	6.748	1	0	2	3.0996	5.0045	-999	-999	-999	-999	-999	-999	-999	-999
164	temp	1	Part1	near_displaced	circle	2	2.0500000000000007	varying	staircase	4.0212	0.8796	120	0	5.482	1	0	2	2.3967	4.2404	-999	-999	-999	-999	-999	-999	-999	-999
165	temp	1	Part1	near_displaced	circle	2	1.7000000000000004	standard	staircase	3.9667	0.8251	120	0	5.575	1	0	2	3.0879	4.5254	-999	-999	-999	-999	-999	-999	-999	-999
166	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	4.5295	1.3879	120	1	5.428	1	0	3	2.2204	3.0496	3.7066	-999	-999	-999	-999	-999	-999	-999
167	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	4.6446	1.5031	120	1	5.401	1	0	3	1.911	2.9186	4.7992	-999	-999	-999	-999	-999	-999	-999
168	temp	1	Part1	far_displaced	circle	2	1.0	varying	attention_check	4.341	1.1994	120	1	5.642	1	0	2	2.0861	4.0037	-999	-999	-999	-999	-999	-999	-999	-999
